,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%,Cluster
81,Owen Lalonde,D,SBY,16.622,64,2,4,6,6,12,68,2.94,0.03,0.06,0.09,0.09,0.19,1.06,3.7,0.06,0,2,0,0,3,0,2,63,3.17,2,2,100,1
82,Markus Phillips,D,OS,16.488,63,3,3,6,6,12,74,4.05,0.05,0.05,0.1,0.1,0.19,1.17,3.43,0.05,0,1,0,0,4,0,3,69,4.35,1,4,25,1
83,Macauley Carson,LW,SBY,16.512,61,5,4,2,9,11,38,13.16,0.08,0.07,0.03,0.15,0.18,0.62,4.18,0.07,4,10,40,1,8,12.5,0,20,0,12,41,29.27,1
84,Cole Coskey,RW,SAG,16.291,54,4,5,2,9,11,45,8.89,0.07,0.09,0.04,0.17,0.2,0.83,2.86,0.05,0,3,0,1,3,33.33,3,39,7.69,1,2,50,1
85,Brady Pataki,RW,SBY,16.95,64,5,5,1,10,11,66,7.58,0.08,0.08,0.02,0.16,0.17,1.03,5.97,0.09,1,14,7.14,1,7,14.29,3,45,6.67,2,11,18.18,1
86,Max Grondin,C,SAG,16.2,68,6,3,2,9,11,67,8.96,0.09,0.04,0.03,0.13,0.16,0.99,7.48,0.11,2,13,15.38,1,7,14.29,3,47,6.38,181,384,47.14,1
87,Sergey Popov,LW,KGN,16.471,65,4,7,0,11,11,86,4.65,0.06,0.11,0,0.17,0.17,1.32,7.76,0.12,1,9,11.11,1,12,8.33,2,65,3.08,8,22,36.36,1
88,Kody Clark,RW,OTT,16.926,57,7,4,0,11,11,81,8.64,0.12,0.07,0,0.19,0.19,1.42,8.01,0.14,1,13,7.69,4,14,28.57,2,54,3.7,2,8,25,1
89,Pavel Gogolev,RW,PBO,16.573,53,5,3,3,8,11,66,7.58,0.09,0.06,0.06,0.15,0.21,1.25,5.68,0.11,0,8,0,2,8,25,3,50,6,0,3,0,1
90,Jacob LeGuerrier,D,SSM,16.813,62,0,5,6,5,11,46,0,0,0.08,0.1,0.08,0.18,0.74,1.14,0.02,0,0,0,0,1,0,0,45,0,0,0,0,1
91,Nikita Okhotyuk,D,OTT,16.781,53,5,1,5,6,11,58,8.62,0.09,0.02,0.09,0.11,0.21,1.09,2.49,0.05,0,1,0,2,2,100,3,55,5.45,1,1,100,1
92,Kyle Harris,C,FLNT,16.427,60,5,3,3,8,11,64,7.81,0.08,0.05,0.05,0.13,0.18,1.07,5.73,0.1,1,5,20,2,13,15.38,2,46,4.35,138,381,36.22,2
93,Tag Bertuzzi,C,GUE,16.573,41,3,7,1,10,11,31,9.68,0.07,0.17,0.02,0.24,0.27,0.76,3.88,0.09,0,7,0,1,9,11.11,2,15,13.33,1,10,10,2
