,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
379,Patrick Bernard,RW,VIC,18.974,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,Olivier Didier,LW,RIM,20.482,34,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,Patrick Simard,D,BAC,16.463,31,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.23
382,Denis Fecteau,LW,LEW,17.87,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
383,Carl Mathieu,LW,BAT,17.383,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,Goran Doric,LW,SHA,18.903,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,Cedric Archambault,D,DRU,15.954,12,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.08
386,Kevin Cormier,LW,HAL,17.632,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
387,Donovan Chief,LW,GAT,18.191,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
388,Kevin Plante,D,CHI,17.785,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
389,Terry Gardner,LW,DRU,17.624,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,Patrick Bernier,RW,SHA,16.23,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Simon Bosse-Germain,RW,BAC,17.49,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
392,Jeremy Tremblay,D,BAT,16.975,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Pierre-Cedrick Labrie,LW,QUE,17.26,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,Diego Lalonde,D,ROU,18.125,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Pierre-Luc Briere,C,CHI,19.505,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
396,Jean-Sebastien Adam,D,MON,16.879,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
397,Pierre Bergeron,D,PEI,16.589,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
398,Simon Archambault,D,DRU,16.868,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,Maxime Bilodeau,LW,VIC,17.766,3,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.33
400,David Millen,D,DRU,17.216,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,Danny Hollett,LW,VIC,17.082,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,Matthew Lemire,LW,LEW,17.531,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,Sylvain Ouellette,LW,CHI,17.49,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,Jerome Larochelle,LW,SHA,16.748,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
405,Patrick Provencher,LW,BAC,18.128,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
406,Joel Maas,LW,CAP,19.212,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,Billy Leonard,LW,QUE,18.388,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,Tyler Davidson,D,SHA,18.202,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,Carl McLean,D,VDO,20.699,5,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
410,Mathieu Berube,D,VDO,16.956,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
411,Brett Woodland,C,LEW,17.183,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
412,Ryan Spaulding,RW,CHI,16.918,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25
413,Alexandre Lemire,D,DRU,16.192,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,Drew Petkoff,LW,GAT,18.497,5,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6
415,Lucas Longpre,D,ROU,16.34,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,Maxime Thibodeau,D,BAT,19.543,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
417,Trevor Mackenzie,C,SHA,17.284,4,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.75
418,Steeve Ouellette,D,RIM,17.931,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,Michel Losier,LW,MON,18.588,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
420,Charles Fortier,LW,BAC,17.575,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0
