,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
305,Stephen Genua,LW,ER,18.459,48,4,4,3,8,11,0.08,0.08,0.06,0.17,0.23
306,Jon Carnevale,RW,OTT,18.237,54,9,2,0,11,11,0.17,0.04,0.0,0.2,0.2
307,Kyle Pereira,D,BRA,18.618,55,4,1,6,5,11,0.07,0.02,0.11,0.09,0.2
308,Brad Albert,D,BRA,20.529,64,1,4,6,5,11,0.02,0.06,0.09,0.08,0.17
309,Jonathan Jasper,D,KIT,17.942,46,1,5,5,6,11,0.02,0.11,0.11,0.13,0.24
310,Bjorn Krupp,LD,BELV,18.53,67,0,6,5,6,11,0.0,0.09,0.07,0.09,0.16
311,Michael Whaley,C,WSR,16.43,39,1,4,5,5,10,0.03,0.1,0.13,0.13,0.26
312,Tim Billingsley,D,MISS,19.661,60,2,4,4,6,10,0.03,0.07,0.07,0.1,0.17
313,Dylan  King,LD,SSM,19.198,68,2,3,5,5,10,0.03,0.04,0.07,0.07,0.15
314,Ryan Gottschalk,D,BAR/GUE,19.749,59,0,5,5,5,10,0.0,0.08,0.08,0.08,0.17
315,Jeremy Gottzmann,C,ER,16.455,60,4,5,1,9,10,0.07,0.08,0.02,0.15,0.17
316,Zack Mitchell,RW,GUE,16.688,59,3,6,1,9,10,0.05,0.1,0.02,0.15,0.17
317,Brett Appio,LW,ER/SAR,18.391,60,4,5,1,9,10,0.07,0.08,0.02,0.15,0.17
318,Kyle Neuber,RW,SAR,20.485,60,5,3,2,8,10,0.08,0.05,0.03,0.13,0.17
319,Mathew Maione,D,GUE,18.818,66,0,5,4,5,9,0.0,0.08,0.06,0.08,0.14
320,Ben Alavie,D,BRA,19.623,41,1,4,4,5,9,0.02,0.1,0.1,0.12,0.22
321,Christian Stevens,D,KIT,18.029,45,0,5,4,5,9,0.0,0.11,0.09,0.11,0.2
322,Jay  Gilbert,D,PLY/NIAG,18.087,52,1,3,5,4,9,0.02,0.06,0.1,0.08,0.17
323,Adam Wallace,LW,WSR,19.483,57,6,2,1,8,9,0.11,0.04,0.02,0.14,0.16
324,Jimmy McDowell,D,OSH,16.397,50,3,0,6,3,9,0.06,0.0,0.12,0.06,0.18
325,Michael  Hasson,C,NIAG,17.881,45,4,3,2,7,9,0.09,0.07,0.04,0.16,0.2
326,Frank Corrado,D,SBY,16.474,63,1,2,6,3,9,0.02,0.03,0.1,0.05,0.14
