,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
464,Jacob Winterton,LW,FLNT,17.681,59,10,7,3,17,20,67,14.93,0.17,0.12,0.05,0.29,0.34,1.14,5.59,0.09,3,6,50.0,4,15,26.67,3,46,6.52,13,30,43.33
465,James Hardie,LW,MISS,16.657,52,14,4,2,18,20,97,14.43,0.27,0.08,0.04,0.35,0.38,1.87,6.54,0.13,4,13,30.77,4,12,33.33,6,72,8.33,0,4,0.0
466,Rory Kerins,C,SSM,16.427,47,9,9,2,18,20,41,21.95,0.19,0.19,0.04,0.38,0.43,0.87,4.28,0.09,2,8,25.0,3,9,33.33,4,24,16.67,64,125,51.2
467,Tag Bertuzzi,C/LW,GUE/HAM,17.072,71,7,9,4,16,20,85,8.545,0.1,0.12,0.06,0.22,0.285,1.28,4.535,0.13,0,15,0.0,3,21,13.89,4,49,9.605,3,15,25.0
468,Matt McNamara,D,PBO,17.6,105,4,7,9,11,20,122,2.568,0.035,0.108,0.075,0.143,0.218,1.132,1.588,0.035,0,2,0.0,1,2,50.0,3,118,1.965,0,0,0.0
469,Caleb Everett,D,SAG,18.154,60,6,10,4,16,20,86,3.53,0.05,0.085,0.035,0.14,0.17,0.985,1.555,0.03,0,2,0.0,0,1,0.0,6,83,3.66,0,1,0.0
470,Stephen Gibson,D,MISS,20.038,133,4,7,9,11,20,143,2.95,0.03,0.055,0.065,0.08,0.15,1.075,2.525,0.035,0,1,0.0,1,3,50.0,3,139,2.245,0,2,0.0
471,Reilly Webb,D,HAM/SAG,18.618,136,1,14,4,15,19,180,0.318,0.005,0.118,0.035,0.12,0.155,1.315,2.1,0.04,0,2,0.0,0,2,0.0,1,176,0.325,0,3,0.0
472,David Maier,D,NB,18.675,44,3,12,4,15,19,47,6.38,0.07,0.27,0.09,0.34,0.43,1.07,2.15,0.05,0,2,0.0,0,0,0.0,3,45,6.67,0,0,0.0
473,Ian Derungs,LW,KGN,18.708,51,9,7,3,16,19,104,8.65,0.18,0.14,0.06,0.31,0.37,2.04,8.62,0.17,1,5,20.0,3,11,27.27,5,88,5.68,5,15,33.33
