,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
345,Giovanni Vallati,D,KIT,16.567,59.0,5.0,7.0,9.0,12.0,21.0,66.0,7.58,0.08,0.12,0.15,0.2,0.36,1.12,3.11,0.05,1.0,3.0,33.33,0.0,1.0,0.0,4.0,62.0,6.45,8.0,17.0,47.06
346,Sean Josling,RW,SAR,17.487,60.0,11.0,5.0,5.0,16.0,21.0,115.0,9.57,0.18,0.08,0.08,0.27,0.35,1.92,11.46,0.19,4.0,15.0,26.67,2.0,15.0,13.33,5.0,85.0,5.88,7.0,27.0,25.93
347,Danil Antropov,LW,OSH,15.737,60.0,8.0,6.0,7.0,14.0,21.0,75.0,10.67,0.13,0.1,0.12,0.23,0.35,1.25,7.93,0.13,0.0,6.0,0.0,4.0,14.0,28.57,4.0,55.0,7.27,4.0,9.0,44.44
348,Matthew Philip,C,NIAG,17.295,45.0,11.0,7.0,3.0,18.0,21.0,113.0,9.73,0.24,0.16,0.07,0.4,0.47,2.51,9.56,0.21,4.0,12.0,33.33,4.0,18.0,22.22,3.0,83.0,3.61,287.0,563.0,50.98
349,Aidan Dudas,C,OS,16.252,56.0,8.0,8.0,5.0,16.0,21.0,82.0,9.76,0.14,0.14,0.09,0.29,0.38,1.46,8.62,0.15,2.0,13.0,15.38,3.0,12.0,25.0,3.0,57.0,5.26,144.0,302.0,47.68
350,Serron Noel,RW,OSH,16.104,63.0,8.0,9.0,4.0,17.0,21.0,69.0,11.59,0.13,0.14,0.06,0.27,0.33,1.1,7.9,0.13,3.0,15.0,20.0,3.0,16.0,18.75,2.0,38.0,5.26,21.0,49.0,42.86
351,Shane Bulitka,LW,SBY,16.688,62.0,5.0,10.0,6.0,15.0,21.0,47.0,5.32,0.04,0.085,0.05,0.125,0.175,0.39,2.365,0.04,2.0,6.0,16.665,2.0,12.0,8.335,1.0,29.0,1.725,271.0,591.0,22.965
352,Robbie Burt,RW,KGN/OSH,16.8,102.0,11.0,6.0,4.0,17.0,21.0,128.0,8.595,0.11,0.055,0.045,0.165,0.21,1.265,6.305,0.125,6.0,20.0,29.29,0.0,14.0,0.0,5.0,94.0,5.375,7.0,22.0,32.5
353,Mike Baird,LW,NB/WSR,18.976,69.0,6.0,7.0,8.0,13.0,21.0,64.0,8.57,0.08,0.105,0.08,0.185,0.26,0.88,4.07,0.11,3.0,14.0,33.335,2.0,15.0,9.09,1.0,35.0,1.85,2.0,5.0,41.665
354,Blake Clarke,LW,SAG,19.642,61.0,11.0,6.0,4.0,17.0,21.0,91.0,12.09,0.18,0.1,0.07,0.28,0.34,1.49,7.89,0.13,2.0,7.0,28.57,2.0,10.0,20.0,7.0,74.0,9.46,3.0,9.0,33.33
355,Alex Black,D,SAR/PBO,18.508,122.0,5.0,10.0,6.0,15.0,21.0,84.0,6.185,0.04,0.085,0.05,0.125,0.175,0.685,2.055,0.035,0.0,1.0,0.0,0.0,5.0,0.0,5.0,78.0,6.685,0.0,0.0,0.0
356,Francesco  Vilardi,C,FLNT,19.683,67.0,9.0,5.0,7.0,14.0,21.0,96.0,9.38,0.13,0.07,0.1,0.21,0.31,1.43,10.16,0.15,2.0,9.0,22.22,1.0,15.0,6.67,6.0,72.0,8.33,549.0,1081.0,50.79
357,Damir Sharipzyanov,D,OS,19.576,46.0,5.0,11.0,5.0,16.0,21.0,73.0,6.85,0.11,0.24,0.11,0.35,0.46,1.59,3.91,0.08,0.0,2.0,0.0,0.0,2.0,0.0,5.0,69.0,7.25,0.0,0.0,0.0
