"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA"
"","Sam Babintsev","RW","MISS","19.937","54","12","11","8","23","31","0.22","0.2","0.15","0.43","0.57","714.66","13.23","1.01","0.92","0.67","1.93","2.6","14.68","13.99","44.7","51.1","22.42","58.67","44","31"
"","Hunter Garlent","C","PBO","19.612","52","14","9","6","23","29","0.27","0.17","0.12","0.44","0.56","743.14","14.29","1.13","0.73","0.48","1.86","2.34","14.68","14.32","44.8","54.33","-4.18","43.53","37","48"
"","Spencer Watson","RW","KGN","18.391","41","11","12","6","23","29","0.27","0.29","0.15","0.56","0.71","642.07","15.66","1.03","1.12","0.56","2.15","2.71","16.21","14.01","52.48","49.22","13.26","60.0","39","26"
"","Josh Burnside","LW","MISS","19.592","66","10","13","5","23","28","0.15","0.2","0.08","0.35","0.42","952.04","14.42","0.63","0.82","0.32","1.45","1.76","14.16","14.05","43.61","51.93","13.2","49.07","53","55"
"","Alex Henriksson","RW","NB","19.603","68","18","5","5","23","28","0.26","0.07","0.07","0.34","0.41","866.11","12.74","1.25","0.35","0.35","1.59","1.94","15.24","13.91","53.92","49.6","1.04","53.75","43","37"
"","David Miller","C","SSM/KIT","17.972","70","12","11","5","23","28","0.17","0.16","0.07","0.33","0.4","932.08","13.32","0.77","0.71","0.32","1.48","1.8","13.81","13.57","58.7","49.43","-13.14","48.0","48","52"
"","Connor Chatham","RW","PLY","18.878","48","12","11","4","23","27","0.25","0.23","0.08","0.48","0.56","594.73","12.39","1.21","1.11","0.4","2.32","2.72","14.29","13.65","45.6","49.06","11.4","57.14","32","24"
"","Steven Lorentz","C","PBO","18.423","59","11","12","4","23","27","0.19","0.2","0.07","0.39","0.46","714.71","12.11","0.92","1.01","0.34","1.93","2.27","14.12","13.82","43.52","52.63","12.01","50.7","36","35"
"","Brendan Bell","LW","OTT","20.499","62","16","7","4","23","27","0.26","0.11","0.06","0.37","0.44","835.78","13.48","1.15","0.5","0.29","1.65","1.94","15.19","13.89","48.9","50.37","4.17","51.11","46","44"
"","Matt Schmalz","RW","SBY","18.486","66","15","8","4","23","27","0.23","0.12","0.06","0.35","0.41","944.49","14.31","0.95","0.51","0.25","1.46","1.72","13.68","13.85","31.16","53.59","3.62","32.48","38","79"
"","Jordan Kyrou","RW","SAR","16.364","63","11","11","8","22","30","0.17","0.17","0.13","0.35","0.48","724.35","11.5","0.91","0.91","0.66","1.82","2.48","13.98","13.64","51.49","48.34","13.48","58.97","46","32"
"","Pavel Jenys","RW","SBY","18.453","63","10","12","5","22","27","0.16","0.19","0.08","0.35","0.43","763.64","12.12","0.79","0.94","0.39","1.73","2.12","13.78","13.76","32.6","54.15","8.92","35.71","30","54"
"","Nathan Bastian","RW","MISS","16.775","68","14","8","2","22","24","0.21","0.12","0.03","0.32","0.35","816.35","12.01","1.03","0.59","0.15","1.62","1.76","14.15","13.91","40.59","51.22","-9.57","33.75","27","53"
"","Nathan Pancel","LW","PBO/SBY","20.693","64","17","4","8","21","29","0.27","0.06","0.12","0.33","0.45","905.04","14.14","1.13","0.27","0.53","1.39","1.92","14.25","13.9","37.14","54.98","12.47","42.31","44","60"
"","Darby Llewellyn","LW","KIT","18.158","68","13","8","7","21","28","0.19","0.12","0.1","0.31","0.41","878.08","12.91","0.89","0.55","0.48","1.43","1.91","13.71","13.74","49.96","52.52","5.37","53.01","44","39"
"","Greg  Betzold","LW","PBO","19.516","49","14","7","6","21","27","0.29","0.14","0.12","0.43","0.55","674.14","13.76","1.25","0.62","0.53","1.87","2.4","14.55","14.12","44.57","50.47","-0.39","43.84","32","41"
"","Miles  Liberati","D","NB","19.237","67","9","12","5","21","26","0.13","0.18","0.07","0.31","0.39","1248.72","18.64","0.43","0.58","0.24","1.01","1.25","14.26","13.88","53.57","49.5","6.74","56.1","69","54"
