,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
185,Mirko Hoefflin,C,BAT,19.242,59,18,14,10,32,42,148,12.16,0.31,0.24,0.17,0.54,0.71,2.51,339,671,50.52
186,Jean-Francois Leblanc,C,BAC/VDO/VIC,19.037,112,17,6,19,23,42,117,14.815,0.16,0.055,0.175,0.215,0.39,1.05,722,1332,54.005
187,Danick Emond,D,VIC/MON,18.902,111,8,7,27,15,42,121,7.215,0.075,0.07,0.235,0.145,0.38,1.07,1,2,25.0
188,Jeremy Beaudry,D,VIC/QUE/SHE,18.256,91,23,9,10,32,42,186,14.105,0.23,0.09,0.11,0.325,0.43,1.825,2,8,12.5
189,Alexandre Durette,RW,BAC/VDO,19.538,65,17,12,13,29,42,117,14.53,0.26,0.18,0.2,0.45,0.65,1.8,367,721,50.9
190,Vincent Arseneau,LW,SHA,19.973,107,20,8,14,28,42,242,7.615,0.195,0.075,0.135,0.27,0.4,2.3,8,19,42.265
191,Samuel Aquin,LW,BLB/SHA,18.443,75,14,18,9,32,41,113,13.75,0.2,0.235,0.115,0.44,0.555,1.49,329,655,50.955
192,Antoine Quevillon,LW,ROU,19.795,63,15,13,13,28,41,160,9.38,0.24,0.21,0.21,0.44,0.65,2.54,35,94,37.23
193,Sacha Guimond,D,BAC,20.469,65,9,18,14,27,41,126,7.14,0.14,0.28,0.22,0.42,0.63,1.94,1,1,100.0
194,Danick Martel,C,BLB,17.26,69,19,14,8,33,41,181,5.305,0.14,0.105,0.06,0.245,0.3,2.315,216,530,20.375
195,Anthony DeLuca,LW,RIM,17.594,67,22,14,4,36,40,180,12.22,0.33,0.21,0.06,0.54,0.6,2.69,8,16,50.0
196,Charles-Olivier Roussel,D,SNB,20.006,58,13,10,17,23,40,141,9.22,0.22,0.17,0.29,0.4,0.69,2.43,0,0,0.0
197,William Cochrane,LW,BAT/CAP/VIC,18.489,122,16,16,8,32,40,234,6.84,0.13,0.13,0.065,0.26,0.325,1.92,142,347,40.315
198,Philippe Hudon,RW,VIC,18.919,99,18,15,7,33,40,204,7.705,0.16,0.13,0.055,0.29,0.345,2.025,22,51,40.68
199,Francis Turbide,D,BAC,19.154,133,11,17,11,28,39,134,8.055,0.08,0.125,0.08,0.205,0.29,1.005,296,621,48.3
200,Nikita Jevpalovs,LW,BLB,18.018,60,18,15,6,33,39,115,15.65,0.3,0.25,0.1,0.55,0.65,1.92,83,179,46.37
201,Mathieu Guertin,LW,VDO,19.286,67,16,12,11,28,39,116,13.79,0.24,0.18,0.16,0.42,0.58,1.73,16,35,45.71
202,Kurt Etchegary,C,QUE,17.342,92,14,12,13,26,39,131,10.665,0.185,0.165,0.17,0.35,0.52,1.6,548,1066,51.4
203,Denis Kindl,C,CAP,19.113,62,18,10,10,28,38,143,12.59,0.29,0.16,0.16,0.45,0.61,2.31,270,601,44.93
204,Jonathan Lessard,RW,BAC,20.562,50,27,6,5,33,38,181,14.92,0.54,0.12,0.1,0.66,0.76,3.62,5,15,33.33
205,Dylan Anderson,C,BLB,20.553,68,13,16,9,29,38,119,10.92,0.19,0.24,0.13,0.43,0.56,1.75,704,1264,55.7
206,Charles Coyle,RW,SNB,19.538,23,15,18,5,33,38,80,18.75,0.65,0.78,0.22,1.43,1.65,3.48,152,312,48.72
