,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
433,Billy Constantinou,D,NIAG,16.477,45,3,5,4,8,12,42,7.14,0.07,0.11,0.09,0.18,0.27,0.93,2.31,0.05,0,2,0.0,0,1,0.0,3,39,7.69,2,2,100.0
434,Luke Bignell,C,BAR,16.866,56,7,2,3,9,12,48,14.58,0.12,0.04,0.05,0.16,0.21,0.86,5.59,0.1,2,7,28.57,3,9,33.33,2,32,6.25,217,555,39.1
435,Zack Malik,D,SBY,17.117,32,0,10,2,10,12,34,0.0,0.0,0.31,0.06,0.31,0.38,1.06,1.36,0.04,0,1,0.0,0,0,0.0,0,33,0.0,0,0,0.0
436,Carson Edwardson,C,ER,17.77,60,7,4,1,11,12,61,11.26,0.135,0.075,0.015,0.205,0.22,1.07,3.17,0.115,0,5,0.0,2,14,11.11,5,42,11.905,70,129,54.08
437,Joshua Dame,LW,NIAG,19.032,74,3,4,4,7,11,37,10.48,0.055,0.09,0.065,0.15,0.21,0.515,1.665,0.045,1,5,16.665,0,7,0.0,2,25,12.5,18,29,49.355
438,Curtis Egert,LW,SAR,18.112,45,4,1,6,5,11,45,4.76,0.055,0.015,0.12,0.07,0.195,0.75,2.55,0.085,1,6,8.335,1,9,8.335,2,30,3.335,4,9,46.43
439,Zack Dorval,C,KGN/OTT,18.407,65,6,3,2,9,11,92,6.52,0.09,0.05,0.03,0.14,0.17,1.42,8.23,0.13,2,8,25.0,3,19,15.79,1,65,1.54,132,252,52.38
440,Robbie Burt,RW,OSH,17.301,46,7,1,3,8,11,64,10.94,0.15,0.02,0.07,0.17,0.24,1.39,6.41,0.14,4,11,36.36,0,8,0.0,3,45,6.67,3,12,25.0
441,Shaun Bily,C,ER,18.563,36,4,3,4,7,11,52,7.69,0.11,0.08,0.11,0.19,0.31,1.44,4.38,0.12,0,2,0.0,2,7,28.57,2,43,4.65,67,162,41.36
442,Nic Sicoly,LW,GUE,18.694,66,2,8,1,10,11,86,2.33,0.03,0.12,0.02,0.15,0.17,1.3,9.02,0.14,1,12,8.33,0,21,0.0,1,53,1.89,13,35,37.14
