,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
587,Sahil Panwar,C,LDN,16.636,25,5,3,0,8,8,26,19.23,0.2,0.12,0.0,0.32,0.32,1.04,1.82,0.07,0,2,0.0,2,5,40.0,3,19,15.79,9,23,39.13
588,Nolan Gardiner,C,OTT,37.036,65,3,3,2,6,8,35,16.78,0.1,0.06,0.04,0.16999999999999998,0.21,1.19,3.65,0.12000000000000001,0,5,0.0,2,9,28.57,1,21,12.5,31,69,84.84
589,David Pearce,LW,OTT,18.683,65,3,3,2,6,8,43,6.98,0.05,0.05,0.03,0.09,0.12,0.66,4.37,0.07,0,6,0.0,0,6,0.0,3,31,9.68,22,42,52.38
590,Patrick Sanvido,D,WSR/SBY,20.217,52,3,3,2,6,8,49,6.12,0.06,0.06,0.04,0.12,0.15,0.94,1.79,0.03,1,1,100.0,0,2,0.0,2,46,4.35,0,0,0.0
591,Riley Piercey,RW,BAR,16.49,46,2,3,3,5,8,41,4.88,0.04,0.07,0.07,0.11,0.17,0.89,3.97,0.09,1,10,10.0,0,4,0.0,1,27,3.7,6,14,42.86
592,Sullivan Sparkes,C,OSH,35.738,49,5,3,0,8,8,50,11.11,0.11,0.07,0.0,0.18,0.18,2.25,5.819999999999999,0.27,2,10,20.0,0,9,0.0,3,31,11.11,116,257,115.83000000000001
593,Mike Davies,LW,SAG,19.609,39,5,3,0,8,8,60,8.33,0.13,0.08,0.0,0.21,0.21,1.54,6.42,0.16,2,10,20.0,2,12,16.67,1,38,2.63,7,21,33.33
594,Brendan Sellan,LW,ER,17.643,50,3,3,2,6,8,56,5.36,0.06,0.06,0.04,0.12,0.16,1.12,4.88,0.1,0,9,0.0,3,13,23.08,0,34,0.0,7,16,43.75
595,Gleb Babintsev,D,PBO,17.687,64,1,3,4,4,8,59,1.69,0.02,0.05,0.06,0.06,0.12,0.92,2.47,0.04,1,3,33.33,0,0,0.0,0,56,0.0,0,0,0.0
596,Alec Belanger,D,OTT,16.299,22,2,2,3,4,7,9,22.22,0.09,0.09,0.14,0.18,0.32,0.41,0.55,0.02,1,1,100.0,0,1,0.0,1,7,14.29,1,1,100.0
597,Harrison Cottam,RW,LDN,35.503,46,3,3,1,6,7,31,10.0,0.07,0.07,0.02,0.14,0.17,0.96,2.17,0.060000000000000005,0,0,0.0,1,6,16.67,2,25,8.33,2,8,28.57
598,Zayde Wisdom,C,KGN,16.323,48,2,2,3,4,7,57,3.51,0.04,0.04,0.06,0.08,0.15,1.19,4.57,0.1,1,8,12.5,0,9,0.0,1,40,2.5,46,94,48.94
599,Justin McCombs,C,SAR,17.219,38,3,3,1,6,7,19,15.79,0.08,0.08,0.03,0.16,0.18,0.5,2.06,0.05,1,7,14.29,1,4,25.0,1,8,12.5,42,108,38.89
600,Ryan O'Bonsawin,D,SBY,12.674,45,4,1,2,5,7,27,9.43,0.067,0.01,0.05,0.077,0.13,0.503,0.687,0.03,1,2,16.667,1,4,8.333,2,21,6.73,14,34,13.727
601,Manuel Alberg,RW,OS,17.528,43,1,3,3,4,7,40,2.5,0.02,0.07,0.07,0.09,0.16,0.93,3.68,0.09,0,4,0.0,0,5,0.0,1,31,3.23,9,18,50.0
602,Filip Reisnecker,LW,MISS,16.759,32,4,2,1,6,7,40,10.0,0.12,0.06,0.03,0.19,0.22,1.25,2.94,0.09,2,6,33.33,0,6,0.0,2,28,7.14,2,6,33.33
603,Kirill Kozhevnikov,LW,WSR,18.637,33,4,2,1,6,7,31,12.9,0.12,0.06,0.03,0.18,0.21,0.94,3.94,0.12,2,7,28.57,0,5,0.0,2,19,10.53,0,2,0.0
604,Egor Postnov,LW,NB,18.407,17,1,1,5,2,7,21,4.76,0.06,0.06,0.29,0.12,0.41,1.24,1.71,0.1,0,3,0.0,1,2,50.0,0,16,0.0,2,2,100.0
605,Roman Pucek,LW,SSM,18.423,33,4,1,2,5,7,25,16.0,0.12,0.03,0.06,0.15,0.21,0.76,3.2,0.1,3,9,33.33,0,3,0.0,1,13,7.69,1,5,20.0
606,Brock Hill,D,SAG,18.634,73,0,4,3,4,7,26,0.0,0.0,0.053,0.037,0.053,0.09,0.487,0.39,0.02,0,2,0.0,0,1,0.0,0,23,0.0,1,2,33.333
607,Bryan Laureigh,LW,KGN,11.832,70,3,3,1,6,7,35,4.347,0.017,0.017,0.027,0.037,0.063,0.44,1.063,0.033,0,4,0.0,1,5,8.333,2,26,4.167,0,5,0.0
608,Pavel Demin,C,NIAG,17.41,57,4,2,1,6,7,63,6.35,0.07,0.04,0.02,0.11,0.12,1.11,4.99,0.09,0,4,0.0,1,5,20.0,3,54,5.56,79,189,41.8
609,Austin Hall,D,GUE,19.439,20,1,5,1,6,7,15,6.67,0.05,0.25,0.05,0.3,0.35,0.75,0.33,0.02,1,1,100.0,0,0,0.0,0,14,0.0,0,1,0.0
610,Marcus Gillard,D,ER,16.918,45,0,5,2,5,7,32,0.0,0.0,0.11,0.04,0.11,0.16,0.71,0.67,0.01,0,0,0.0,0,1,0.0,0,31,0.0,1,2,50.0
611,Jake Uberti,C,NIAG,16.526,48,2,3,2,5,7,30,6.67,0.04,0.06,0.04,0.1,0.15,0.62,2.65,0.06,0,4,0.0,0,5,0.0,2,21,9.52,119,245,48.57
612,Cameron Lizotte,D,ER/BAR,19.061,49,2,3,2,5,7,41,4.88,0.04,0.06,0.04,0.1,0.14,0.84,1.89,0.04,0,1,0.0,0,2,0.0,2,38,5.26,1,2,50.0
613,DJ King,D,HAM,18.105999999999998,40,2,3,1,5,6,40,5.0,0.05,0.07,0.03,0.12,0.15,1.0,1.35,0.03,0,2,0.0,1,1,100.0,1,37,2.7,0,1,0.0
614,Louis Latta,LW,SAR,18.109,57,3,1,2,4,6,41,7.32,0.05,0.02,0.04,0.07,0.11,0.72,5.04,0.09,1,9,11.11,0,4,0.0,2,28,7.14,2,9,22.22
615,Payton Vescio,D,NB/HAM/NB,11.327,34,0,4,2,4,6,17,0.0,0.0,0.04,0.02,0.04,0.06,0.173,0.11,0.003,0,0,0.0,0,0,0.0,0,17,0.0,0,0,0.0
616,Matthew Maggio,RW,OTT,15.806,33,3,2,1,5,6,17,17.65,0.09,0.06,0.03,0.15,0.18,0.52,1.19,0.04,0,1,0.0,0,3,0.0,3,13,23.08,0,5,0.0
617,Grayden Gottschalk,RW,OSH,18.412,42,3,3,0,6,6,44,6.82,0.07,0.07,0.0,0.14,0.14,1.05,3.19,0.08,0,3,0.0,0,4,0.0,3,37,8.11,53,118,44.92
618,Robert Proner,D,SAG/BAR,17.514,50,2,3,1,5,6,50,4.0,0.04,0.06,0.02,0.1,0.12,1.0,2.11,0.04,0,1,0.0,0,2,0.0,2,47,4.26,0,0,0.0
