"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Sam Harding","C","OSH","17.46","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Sam Field","RW","KGN","16.611","57","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Matt Mercer","D","OTT","17.257","23","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jonathan Duchesne","D","OTT/SBY","18.59","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Ben Fanjoy","C","OTT","17.35","52","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Andrew Abou-Assaly","LW","OTT","18.328","4","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jeremiah Addison","LW","OTT","17.9","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Tyler Hill","LW","OTT/GUE","19.425","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brett Welychka","RW","LDN/BELV","20.537","58","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Julius  Bergman","D","LDN","18.87","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Dakota Mermis","D","LDN/OSH","20.693","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Matt  Rupert","LW","LDN","20.288","61","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Kelly  Klima","C","LDN","17.279","15","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Aiden  Jamieson","D","LDN","18.481","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Tyler Nother","D","LDN","16.603","40","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Tristen Elie","LW","LDN","18.144","3","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Mitchell Marner","RW","LDN","17.364","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Victor Mete","D","LDN","16.274","58","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Alex Peters","D","PLY","18.204","8","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Tyler  Sensky","D","PLY","17.547","54","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Mitch Jones","D","PLY","19.601","58","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Francesco  Vilardi","C","PLY","18.683","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Connor Chatham","RW","PLY","18.878","48","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Liam Dunda","LW","OS/PLY","17.0","53","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Victor Crus Rydberg","C","PLY","19.488","55","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Bryce Yetman","RW","PLY","17.564","29","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Danny Vanderwiel","LW","PLY","19.576","41","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Cullen Mercer","C","PLY","17.372","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Josh Wesley","D","PLY","18.434","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Matt Mistele","LW","OSH/PLY","18.913","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Connor Sills","RW","PLY","19.321","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Mathieu Henderson","D","PLY","18.689","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Gianluca Curcuruto","D","PLY","20.553","40","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Vincent Scognamiglio","LW","PLY","18.037","64","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Will Bitten","C","PLY","16.184","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Mathew Campagna","C","PLY","20.521","64","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Greg DiTomaso","D","MISS/SAG","18.511","65","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jared Walsh","D","MISS","18.33","53","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Sean Day","D","MISS","16.682","61","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
