,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
1124,Cody Hanson,C,SEA/REG,17.513,47,0,1,3,1,4,0.0,0.02,0.05,0.02,0.07
1125,Andrew Bentz,D,TRI/LET,18.146,38,1,2,1,3,4,0.015,0.515,0.015,0.525,0.54
1126,Scott Brownlee,LW,REG,18.47,24,1,1,2,2,4,0.035,0.035,0.065,0.065,0.135
1127,Spencer Edwards,RW,RDR/SEA,17.081,38,3,1,0,4,4,0.025,0.008,0.0,0.032,0.032
1128,Chance Lund,LW,SEA,15.863,52,1,0,3,1,4,0.01,0.0,0.035,0.01,0.045
1129,Nolan Toigo,D,VAN,18.401,49,0,3,1,3,4,0.0,0.032,0.25,0.032,0.282
1130,Kelly Friesen,C,POR,16.992,63,1,2,1,3,4,0.01,0.015,0.01,0.025,0.035
1131,Kevin Philp,RW,SAS,17.61,36,1,2,1,3,4,0.03,0.06,0.03,0.08,0.11
1132,Dylan McIlrath,D,M.J,16.406,53,1,0,3,1,4,0.02,0.0,0.06,0.02,0.08
1133,Tanner  Exner,C,CWK,17.399,19,1,2,0,3,3,0.05,0.11,0.0,0.16,0.16
1134,Shane McColgan,C,KEL,15.705,4,1,2,0,3,3,0.25,0.5,0.0,0.75,0.75
1135,Ty Ariss,D,POR/M.J,17.894,63,1,2,0,3,3,0.008,0.015,0.0,0.022,0.022
1136,Mike O'Dwyer,RW,REG,16.696,40,1,1,1,2,3,0.03,0.03,0.03,0.05,0.07
1137,Tyler Kieffer,D,EVT,18.155,27,0,1,2,1,3,0.0,0.04,0.07,0.04,0.11
1138,Paul Bonar,D,M.J,17.698,44,0,1,2,1,3,0.0,0.02,0.05,0.02,0.07
1139,Andrew Hewett,D,S.C,18.256,36,1,2,0,3,3,0.03,0.06,0.0,0.08,0.08
1140,Spencer Main,C,KEL,16.551,61,1,0,2,1,3,0.02,0.0,0.03,0.02,0.05
1141,Cody  Castro,D,LET,16.688,49,1,1,1,2,3,0.02,0.02,0.02,0.04,0.06
1142,Levi Brotnov,C,P.G,18.218,43,0,3,0,3,3,0.0,0.07,0.0,0.07,0.07
1143,Shane Malone,D,P.A,16.322,43,0,2,1,2,3,0.0,0.025,0.015,0.025,0.04
1144,Dominic Perrault,D,RDR/REG,16.553,29,0,1,2,1,3,0.0,0.165,0.04,0.165,0.205
1145,Martin Kubaliak,D,M.H,18.262,26,1,2,0,3,3,0.04,0.08,0.0,0.12,0.12
1146,Jordan Braid,LW,SAS,17.63,38,0,2,1,2,3,0.0,0.07,0.055,0.07,0.125
1147,Peter Cmorej,C,P.A,16.786,25,2,1,0,3,3,0.08,0.04,0.0,0.12,0.12
1148,Adam Matlock,RW,LET,18.634,37,1,2,0,3,3,0.03,0.05,0.0,0.08,0.08
