,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
521,Mikael Sabourin,D,BAC,19.491,60,0,3,8,3,11,58,0.0,0.0,0.05,0.13,0.05,0.18,0.97,2.93,0.05,1171.72,19.53,0.0,0.15,0.41,0.15,0.56,2.97,0.15,17.67,17.95,48.89,52.18,-13.75,37.93,44,72,0,1,0.0,0,3,0.0,0,54,0.0,0,0,0.0
522,Jack Kilgour,LW,SHE,18.766,29,4,7,0,11,11,45,8.89,0.14,0.24,0.0,0.38,0.38,1.55,5.13,0.18,421.29,14.53,0.57,1.0,0.0,1.57,1.57,6.41,0.73,18.0,17.53,44.43,53.54,-16.87,30.19,16,37,2,9,22.22,1,9,11.11,1,27,3.7,35,91,38.46
523,Sean O'Brien,C,QUE/VDO,18.297,55,2,6,3,8,11,58,3.45,0.04,0.11,0.05,0.15,0.2,1.05,5.27,0.1,612.84,11.14,0.2,0.59,0.29,0.78,1.08,5.68,0.52,16.99,17.43,39.54,52.03,-9.34,35.14,13,24,0,8,0.0,2,11,18.18,0,39,0.0,134,370,36.22
524,Shaun Bily,C,QUE,18.563,26,4,4,3,8,11,41,9.76,0.15,0.15,0.12,0.31,0.42,1.58,5.25,0.2,348.96,13.42,0.69,0.69,0.52,1.38,1.89,7.05,0.9,17.79,17.98,45.61,46.22,19.66,61.54,16,10,2,7,28.57,2,4,50.0,0,30,0.0,52,116,44.83
525,Vincent Martineau,D,SNB/RIM/RIM/RIM,18.374,69,2,2,7,4,11,79,1.48,0.02,0.023,0.123,0.047,0.167,1.123,0.563,0.023,369.053,15.943,0.077,0.087,0.467,0.163,0.63,4.207,0.09,17.563,17.487,59.297,49.98,-11.767,49.56,46,46,0,0,0.0,0,0,0.0,2,79,1.48,0,0,0.0
526,Nicolas Dumulong,D,RIM/BAT,20.488,50,2,4,5,6,11,80,2.5,0.04,0.08,0.1,0.12,0.22,1.6,2.69,0.05,966.27,19.33,0.12,0.25,0.31,0.37,0.68,4.97,0.17,16.82,18.03,48.84,52.95,-24.41,30.48,32,73,1,1,100.0,0,1,0.0,1,78,1.28,0,0,0.0
527,Olivier Desroches,D,BAT/SHA/SHA,16.971,73,0,4,7,4,11,30,0.0,0.0,0.035,0.085,0.035,0.12,0.365,0.41,0.005,559.84,16.34,0.0,0.15,0.32,0.15,0.47,1.405,0.035,16.325,17.69,39.275,53.145,-8.77,34.27,38,69,0,0,0.0,0,0,0.0,0,30,0.0,1,1,50.0
528,Artem Maltsev,D,RIM,18.473,33,3,3,5,6,11,23,13.04,0.09,0.09,0.15,0.18,0.33,0.7,1.37,0.04,596.63,18.08,0.3,0.3,0.5,0.6,1.11,2.31,0.14,17.31,18.02,49.71,52.65,-20.35,35.21,25,46,1,1,100.0,1,1,100.0,1,21,4.76,0,0,0.0
529,Ben Reid,RW,SNB,17.784,40,6,4,1,10,11,44,7.315,0.085,0.055,0.015,0.145,0.155,0.885,2.03,0.08,252.58,11.285,0.395,0.26,0.065,0.655,0.72,4.58,0.405,16.405,17.195,46.44,52.03,-27.945,17.71,17,33,0,2,0.0,1,10,5.0,5,32,8.62,73,139,76.085
530,Guillaume Desmarais,LW,BLB/DRU/DRU/VDO,16.761,88,6,2,3,8,11,91,6.913,0.07,0.027,0.033,0.093,0.13,1.003,2.633,0.09,313.57,10.717,0.38,0.14,0.183,0.52,0.707,5.64,0.483,16.367,17.19,45.24,51.603,-6.727,38.403,23,35,3,8,28.89,0,11,0.0,3,72,5.0,3,13,11.11
