,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
1240,Justin Taylor,C,UTI/SA,29.1,3,1,0,0,1,1,5,16.665,0.25,0.0,0.0,0.25,0.25,1.75
1241,Brian Gionta,RW,RCH,38.659,1,1,0,0,1,1,1,100.0,1.0,0.0,0.0,1.0,1.0,1.0
1242,Pavel Jenys,F/LW,IA/ONT,21.954,10,1,0,0,1,1,5,10.0,0.055,0.0,0.0,0.055,0.055,0.28
1243,Daniel Maggio,RW/F,TUC,27.036,14,0,1,0,1,1,10,0.0,0.0,0.04,0.0,0.04,0.04,0.385
1244,Keegan Iverson,C,ONT,21.446,11,1,0,0,1,1,12,8.33,0.09,0.0,0.0,0.09,0.09,1.09
1245,Parker Kelly,C,BEL,18.341,5,1,0,0,1,1,7,14.29,0.2,0.0,0.0,0.2,0.2,1.4
1246,Mike Reilly,D,IA,24.176,1,1,0,0,1,1,3,33.33,1.0,0.0,0.0,1.0,1.0,3.0
1247,Zack Stortini,RW,CHA,32.511,42,1,0,0,1,1,23,3.335,0.02,0.0,0.0,0.02,0.02,0.535
1248,Isaac Ratcliffe,LW,LV,18.582,2,1,0,0,1,1,3,33.33,0.5,0.0,0.0,0.5,0.5,1.5
1249,Matt MacKenzie,D,SPR,25.92,22,0,1,0,1,1,19,0.0,0.0,0.05,0.0,0.05,0.05,0.86
1250,Zach Parise,LW,IA,33.134,1,0,1,0,1,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0
1251,Chris Leveille,RW,LAV,30.109,6,0,1,0,1,1,2,0.0,0.0,0.17,0.0,0.17,0.17,0.33
1252,Erik Bradford,F,TOR,22.908,1,1,0,0,1,1,2,50.0,1.0,0.0,0.0,1.0,1.0,2.0
1253,Patrick McCarron,D,GR,23.092,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1254,Greger Hanson,RW,SD,29.578,4,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1255,Taylor Doherty,D,PRO,26.541,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1256,Lindsay Sparks,F,PRO,27.105,5,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6
1257,Tyson Wilson,D,LAV,26.689,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1258,Max Novak,C,TOR,26.421,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1259,Jackson Leef,F,LAV,25.348,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260,Nolan DeJong,D,SA,22.393,6,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.33
1261,Jalen Smereck,D,TUC,21.166,7,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.75
1262,Michael Kirkpatrick,C,CLE,27.354,6,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
